,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
803,,,1,13,,,,,,,1,0,,,,
804,,,1,13,,,,,,,1,0,,,,
806,,,1,21,,,,,,,1,0,,,,
807,,,1,32,,,,,,,1,0,,,,
809,,,1,12,,,,,,,1,0,,,,
813,,,1,6,,,,,,,1,0,,,,
816,,,1,8,,,,,,,1,0,,,,
819,,,1,6,,,,,,,1,0,,,,
822,,,1,9,,,,,,,1,0,,,,
824,,,1,5,,,,,,,1,0,,,,
825,,,1,11,,,,,,,1,0,,,,
826,,,1,5,,,,,,,1,0,,,,
829,,,1,5,,,,,,,1,0,,,,
831,,,1,29,,,,,,,1,0,,,,
834,,,1,5,,,,,,,1,0,,,,
837,,,1,18,,,,,,,1,0,,,,
838,,,1,8,,,,,,,1,0,,,,
839,,,1,116,,,,,,,68,13,0,0,,4
840,,,1,41,,,,,,,68,12,0,0,,3
841,,,1,9,,,,,,,1,0,,,,
842,,,1,5,,,,,,,1,0,,,,
845,,,1,11,,,,,,,1,0,,,,
847,,,1,6,,,,,,,85,47,0,0,,4
848,,,1,34,,,,,,,84,47,0,0,,4
849,,,1,7,,,,,,,1,0,,,,
850,,,1,22,,,,,,,86,33,0,0,,7
851,,,1,33,,,,,,,86,32,0,0,,4
852,,,1,21,,,,,,,1,0,,,,
856,,,1,13,17,,,,,,1,0,,,,
857,,,1,13,1,,,,,,1,0,,,,
861,,,1,7,4,,,,,,1,0,,,,
867,,,1,8,6,,,,,,1,0,,,,
868,,,1,10,22,,,,,,1,0,,,,
869,,,1,8,26,,,,,,1,0,,,,
870,,,1,5,9,,,,,,1,0,,,,
872,,,1,6,8,,,,,,1,0,,,,
882,,,1,6,11,,,,,,1,0,,,,
883,,,1,7,12,,,,,,1,0,,,,
886,,,1,8,4,,,,,,1,0,,,,
890,,,1,6,42,,,,,,1,0,,,,
892,,,1,5,1,,,,,,1,0,,,,
893,,,1,6,5,,,,,,1,0,,,,
905,,,1,6,9,,,,,,1,0,,,,
906,,,1,5,6,,,,,,1,0,,,,
907,,,1,8,36,,,,,,1,0,,,,
915,,,1,14,33,,,,,,1,0,,,,
916,,,1,10,66,,,,,,69,33,0,0,,8
918,,,1,8,21,,,,,,1,0,,,,
1949,,,1,7,,,,,,7,1,0,,,,
1951,,,1,6,,,,,,6,1,0,,,,
1952,,,1,5,,,,,,5,1,0,,,,
1953,,,4,9,,,,,,46696,1,0,,,,
1966,,,2,7,,,,,,7,1,0,,,,
1974,,,2,10,,,,,,10,1,0,,,,
1975,,,2,9,,,,,,9,1,0,,,,
1977,,,2,8,,,,,,8,1,0,,,,
1979,,,2,5,,,,,,5,1,0,,,,
1984,,,2,10,,,,,,10,1,0,,,,
1987,,,2,12,,,,,,12,1,0,,,,
1988,,,2,8,,,,,,8,1,0,,,,
1991,,,2,6,,,,,,6,1,0,,,,
1993,,,2,8,,,,,,8,1,0,,,,
1996,,,2,11,,,,,,11,1,0,,,,
1997,,,2,5,,,,,,5,1,0,,,,
1998,,,2,6,,,,,,6,1,0,,,,
1999,,,2,5,,,,,,5,1,0,,,,
2001,,,2,6,,,,,,6,1,0,,,,
2002,,,2,6,,,,,,6,1,0,,,,
2006,,,2,7,,,,,,7,1,0,,,,
2009,,,2,5,,,,,,5,1,0,,,,
2011,,,2,6,,,,,,1926,1,0,,,,
2013,,,2,5,,,,,,5,1,0,,,,
2014,,,2,5,,,,,,5,1,0,,,,
2015,,,2,6,,,,,,6,1,0,,,,
2016,,,2,9,,,,,,9,1,0,,,,
2017,,,2,19,,,,,,19,1,0,,,,
2018,,,2,25,,,,,,25,1,0,,,,
2019,,,2,14,,,,,,14,1,0,,,,
2020,,,2,5,,,,,,5,1,0,,,,
2021,,,2,7,,,,,,7,1,0,,,,
2022,,,2,5,,,,,,5,1,0,,,,
2023,,,2,6,,,,,,6,1,0,,,,
2028,,,2,15,,,,,,15,1,0,,,,
2029,,,2,8,,,,,,8,1,0,,,,
2030,,,2,6,,,,,,6,1,0,,,,
2031,,,2,6,,,,,,6,1,0,,,,
2032,,,2,5,,,,,,5,1,0,,,,
2033,,,2,7,,,,,,7,1,0,,,,
2034,,,2,5,,,,,,5,46,0,0,0,31,201
2036,,,2,5,,,,,,5,20,0,0,0,24,53
2058,,,1,13,3,6,,,,,1,0,,,,
2066,,,1,5,1,4,,,,,1,0,,,,
2067,,,1,5,1,1,,,,,1,0,,,,
2174,,,1,5,,641,,5916,,802784,1,0,,,,
2175,,,1,7,,361,,4925,,87673,1,0,,,,
2180,,,1,15,,46,,4606,,156000,1,0,,,,
2186,,,1,8,,187,,7483,,717080,1,0,,,,
2195,,,5,9,,5017,,2561,,20000,1,0,,,,
2202,,,5,12,,17903,,7739,,1723623,1,0,,,,
2220,,,2,10,,65371,,13781,,1502000,4,0,0,0,0,74
2236,,,5,7,,,,5609,,717080,1,0,,,,
2242,,,4,8,,,,34437,,772275,1,0,,,,
2245,,,4,10,,,,6760,,622348,1,0,,,,
2246,,,4,5,,,,5981,,20000,1,0,,,,
2247,,,4,10,,,,8072,,147400,1,0,,,,
2248,,,4,20,,,,31810,,759328,1,0,,,,
2249,,,1,7,,,,2710,,27100,1,0,,,,
2251,,,1,11,,,,796,,7960,1,0,,,,
2253,,,2,5,,,,5,,150,1,0,,,,
2254,,,4,14,,,,3587,,35870,1,0,,,,
2263,,,2,6,,,,763,,3815,1,0,,,,
2386,,,1,15,3,,,3,,,1,0,,,,
2405,,,1,32,13,126,,281,,,1,0,,,,
2406,,,1,60,12,58,,7,,,225,0,0,0,1,179
2407,,,1,11,11,160,,3789,,,334,0,0,0,1,48
2408,,,1,29,3,5,,200,,,272,0,0,0,2,48
2409,,,1,13,28,545,,2152,,,297,0,0,0,1,48
2410,,,1,16,1,4,,957,,,338,0,0,0,1,48
2411,,,1,12,16,176,,484,,,226,0,0,0,1,179
2414,,,1,7,1,,,20,,,53,0,0,0,0,24
2419,,,1,12,20,178,,1930,,,16,0,0,0,19,87
2452,,,1,5,,1,,11,,,1,0,,,,
2456,,,1,16,,2,,5,,,302,0,0,0,2,48
2458,,,1,6,,4,,5,,,33,0,0,0,62,167
2462,,,1,6,,74,,264,,,1,0,,,,
2911,90648.1407,,1,5,2,,90648.1407,25,,,69,18,0,0,,0
2921,18129.62814,,3,5,,,18129.62814,5,,,1,0,,,,
2926,286756328.3,,1,110,,13600,286756328.3,2925,,,67,14,0,0,,8
2930,15033087.65,,11,94,,,15033087.65,4146,,,85,39,0,0,,28
