,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
2905,2050823.535,,1,,,101,2050823.535,,,500,27,9,0,0,,4
2906,3625.925628,,1,,,,3625.925628,1,,50,1,0,,,,
2907,213929.6121,,1,1,6,5,213929.6121,31,,4,1,0,,,,
2908,20305.18352,,1,2,2,1,20305.18352,,,,1,0,,,,
2909,20305.18352,,1,1,2,1,20305.18352,,,,1,0,,,,
2910,3625.925628,,1,,2,,3625.925628,1,,,57,22,0,0,,16
2911,90648.1407,,1,5,2,,90648.1407,25,,,69,18,0,0,,0
2912,20305.18352,,1,4,5,1,20305.18352,,,,1,0,,,,
2913,21755.55377,,1,1,,,21755.55377,6,,,1,0,,,,
2914,20305.18352,,1,1,,1,20305.18352,,,,1,0,,,,
2915,56564.4398,,1,1,,1,56564.4398,10,,,25,7,0,0,,8
2916,162441.4681,,1,1,,8,162441.4681,,,,1,0,,,,
2917,348.0888603,,1,2,,,,,,,29,13,0,0,,17
2918,20305.18352,,1,1,,1,20305.18352,,,,29,12,0,0,,9
2919,116.0296201,,1,1,,,,,,,40,19,0,0,,2
2920,3625.925628,,1,1,,,3625.925628,1,,,1,0,,,,
2921,18129.62814,,3,5,,,18129.62814,5,,,1,0,,,,
2922,54388.88442,,1,1,,,54388.88442,15,,,1,0,,,,
2923,119655.5457,,1,1,,5,119655.5457,5,,,1,0,,,,
2924,3625.925628,,1,3,,,3625.925628,1,,,1,0,,,,
2925,7251.851256,,1,1,,,7251.851256,2,,,1,0,,,,
2926,286756328.3,,1,110,,13600,286756328.3,2925,,,67,14,0,0,,8
2927,3625.925628,,1,1,,,3625.925628,1,,,57,7,0,0,,1
2928,101525.9176,,1,2,,,101525.9176,,,,1,0,,,,
2929,3625.925628,,1,4,,,3625.925628,1,,,1,0,,,,
2930,15033087.65,,11,94,,,15033087.65,4146,,,85,39,0,0,,28
2931,7251.851256,,2,,,,7251.851256,2,,,21,6,0,0,,46
2932,1747696.153,,31,,,,1747696.153,482,,,20,6,0,0,,46
2933,1994259.095,,31,,,,1994259.095,550,,,20,6,0,0,,46
2934,1812962.814,,31,,,,1812962.814,500,,,20,6,0,0,,46
2935,5246714.384,,31,,,,5246714.384,1447,,,20,6,0,0,,46
2936,1798459.112,,31,,,,1798459.112,496,,,20,6,0,0,,46
2937,1965251.69,,31,,,,1965251.69,542,,,20,6,0,0,,45
2938,3625925.628,,31,,,,3625925.628,1000,,,20,6,0,0,,45
2939,3625.925628,,2,,,,3625.925628,1,,,1,0,,,,
2940,928.2369608,,31,,,,,,,,1,0,,,,
2941,3625.925628,,9,,,,3625.925628,1,,,25,8,0,0,,22
2942,3625.925628,,2,,,,3625.925628,1,,,26,9,0,0,,20
2943,3625.925628,,2,,,,3625.925628,1,,,28,11,0,0,,4
2944,9862.517708,,31,,,,,,,,1,0,,,,
2945,1700559.12,,8,,,,1700559.12,469,,,50,26,0,0,,2
2946,2251699.815,,31,,,,2251699.815,621,,,51,24,0,0,,9
2947,10353419.44,,11,,,,10353419.44,,,,1,0,,,,
2948,110228.1391,,124,,,4,110228.1391,8,,,1,0,,,,
2949,62365.9208,,8,,,2,62365.9208,6,,,1,0,,,,
2950,150838.5061,,1,,,6,150838.5061,8,,,1,0,,,,
2951,186372.5773,,1,,,9,186372.5773,1,,,25,9,0,0,,19
2952,112403.6945,,1,,,5,112403.6945,3,,,24,8,0,0,,13
2953,248100.3352,,1,,,12,247288.1278,1,,,1,0,,,,
2954,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
2955,3211844.921,,1,,,158,3211844.921,1,,,23,7,0,0,,2
2956,79045.17869,,1,,,3,79045.17869,5,,,23,7,0,0,,1
2957,208128.1311,,1,,,9,208128.1311,7,,,26,8,0,0,,21
2958,84846.6597,,1,,,4,84846.6597,1,,,29,10,0,0,,0
2959,247288.1278,,1,,,12,247288.1278,1,,,27,11,0,0,,22
2960,267593.3114,,1,,,13,267593.3114,1,,,30,14,0,0,,0
2961,153014.0615,,1,,,7,153014.0615,3,,,36,17,0,0,,28
2962,68167.40181,,1,,,3,68167.40181,2,,,36,18,0,0,,26
2963,287898.4949,,1,,,14,287898.4949,1,,,39,19,0,0,,7
2964,1131288.796,,1,,,20,1131288.796,200,,,39,19,0,0,,2
2965,84846.6597,,1,,,4,84846.6597,1,,,38,19,0,0,,52
2966,298776.2718,,1,,,14,298776.2718,4,,,1,0,,,,
2967,406828.8555,,1,,,17,406828.8555,17,,,49,25,0,0,,19
2968,226982.9443,,1,,,11,226982.9443,1,,,49,25,0,0,,18
2969,250914.0535,,1,,,12,250914.0535,2,,,50,26,0,0,,13
2970,122556.2862,,1,,,3,122556.2862,17,,,1,0,,,,
2971,105151.8432,,1,,,5,105151.8432,1,,,1,0,,,,
2972,135609.6185,,1,,,4,135609.6185,15,,,1,0,,,,
2973,365493.3033,,1,,,8,365493.3033,56,,,1,0,,,,
2974,68167.40181,,1,,,3,68167.40181,2,,,1,0,,,,
