economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
2050823.535,,1,,,101,2050823.535,,,500,27,9,0,0,,4
3625.925628,,1,,,,3625.925628,1,,50,1,0,,,,
213929.6121,,1,1,6,5,213929.6121,31,,4,1,0,,,,
20305.18352,,1,2,2,1,20305.18352,,,,1,0,,,,
20305.18352,,1,1,2,1,20305.18352,,,,1,0,,,,
3625.925628,,1,,2,,3625.925628,1,,,57,22,0,0,,16
90648.1407,,1,5,2,,90648.1407,25,,,69,18,0,0,,0
20305.18352,,1,4,5,1,20305.18352,,,,1,0,,,,
21755.55377,,1,1,,,21755.55377,6,,,1,0,,,,
20305.18352,,1,1,,1,20305.18352,,,,1,0,,,,
56564.4398,,1,1,,1,56564.4398,10,,,25,7,0,0,,8
162441.4681,,1,1,,8,162441.4681,,,,1,0,,,,
348.0888603,,1,2,,,,,,,29,13,0,0,,17
20305.18352,,1,1,,1,20305.18352,,,,29,12,0,0,,9
116.0296201,,1,1,,,,,,,1,0,,,,
3625.925628,,1,1,,,3625.925628,1,,,1,0,,,,
18129.62814,,3,5,,,18129.62814,5,,,1,0,,,,
54388.88442,,1,1,,,54388.88442,15,,,1,0,,,,
119655.5457,,1,1,,5,119655.5457,5,,,1,0,,,,
3625.925628,,1,3,,,3625.925628,1,,,1,0,,,,
7251.851256,,1,1,,,7251.851256,2,,,1,0,,,,
286756328.3,,1,110,,13600,286756328.3,2925,,,67,14,0,0,,8
3625.925628,,1,1,,,3625.925628,1,,,57,7,0,0,,1
101525.9176,,1,2,,,101525.9176,,,,1,0,,,,
3625.925628,,1,4,,,3625.925628,1,,,1,0,,,,
15033087.65,,11,94,,,15033087.65,4146,,,85,39,0,0,,28
7251.851256,,2,,,,7251.851256,2,,,21,6,0,0,,46
1747696.153,,31,,,,1747696.153,482,,,20,6,0,0,,46
1994259.095,,31,,,,1994259.095,550,,,20,6,0,0,,46
1812962.814,,31,,,,1812962.814,500,,,20,6,0,0,,46
5246714.384,,31,,,,5246714.384,1447,,,20,6,0,0,,46
1798459.112,,31,,,,1798459.112,496,,,20,6,0,0,,46
1965251.69,,31,,,,1965251.69,542,,,20,6,0,0,,45
3625925.628,,31,,,,3625925.628,1000,,,20,6,0,0,,45
3625.925628,,2,,,,3625.925628,1,,,1,0,,,,
928.2369608,,31,,,,,,,,1,0,,,,
3625.925628,,9,,,,3625.925628,1,,,25,8,0,0,,22
3625.925628,,2,,,,3625.925628,1,,,26,9,0,0,,20
3625.925628,,2,,,,3625.925628,1,,,28,11,0,0,,4
9862.517708,,31,,,,,,,,1,0,,,,
1700559.12,,8,,,,1700559.12,469,,,50,26,0,0,,2
2251699.815,,31,,,,2251699.815,621,,,51,24,0,0,,9
10353419.44,,11,,,,10353419.44,,,,1,0,,,,
110228.1391,,124,,,4,110228.1391,8,,,1,0,,,,
62365.9208,,8,,,2,62365.9208,6,,,1,0,,,,
150838.5061,,1,,,6,150838.5061,8,,,1,0,,,,
