,State,District,Block,latLong
0, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
1, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
2, Tamil Nadu,VIRUTHUNAGAR,ARUPPUKOTTAI,"[9.524751663208008, 78.10205078125]"
3, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
4, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
5, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
6, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
7, Tamil Nadu,VIRUTHUNAGAR,SIVAKASI,"[9.453042984008789, 77.79391479492188]"
8, Tamil Nadu,TIRUVALLUR,PALLIPATTU,"[13.33627700805664, 79.44100189208984]"
9, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
10, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
11, Tamil Nadu,DINDUGAL,PALANI,"[10.45087718963623, 77.51485443115234]"
12, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
13, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
14, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
15, Tamil Nadu,KARUR,KARUR,"[10.95958, 78.08195]"
16, Tamil Nadu,VIRUTHUNAGAR,SIVAKASI,"[9.453042984008789, 77.79391479492188]"
17, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
18, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
19, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
20, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
21, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
22, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
23, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
24, Tamil Nadu,MADURAI,USILAMPATTY,"[9.96517, 77.78876]"
25, Tamil Nadu,VIRUTHUNAGAR,SIVAKASI,"[9.453042984008789, 77.79391479492188]"
26, Tamil Nadu,MADURAI,MELUR,"[10.03273, 78.34146]"
27, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
28, Tamil Nadu,DHARMAPURI,PAPPIREDDIPATTI,"[11.915718078613281, 78.36548614501953]"
29, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
30, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
31, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
32, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
33, Tamil Nadu,PERAMBALUR,KUNNAM,"[11.237754821777344, 79.01547241210938]"
34, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
35, Tamil Nadu,ERODE,DHARAPURAM,"[11.32048, 77.72762]"
36, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
37, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
38, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
39, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
40, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
41, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
42, Tamil Nadu,COIMBATORE,COIMBATORE SOUTH,"[10.952262878417969, 76.91082763671875]"
43, Tamil Nadu,COIMBATORE,POLLACHI,"[10.65905, 77.00824]"
44, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
45, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
46, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
47, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
48, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
49, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
50, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
51, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
52, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
53, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
54, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
55, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
56, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
57, Tamil Nadu,TRICHIRAPPALLI,TRICHIRAPPALLI,"[10.790761947631836, 78.70453643798828]"
58, Tamil Nadu,KANNIYAKUMARI,AGASTEESWARAM,"[8.09667682647705, 77.5485610961914]"
59, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
60, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
61, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
62, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
63, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
64, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
65, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
66, Tamil Nadu,THANJAVUR,THANJAVUR,"[10.7836, 79.1336]"
67, Tamil Nadu,VIRUTHUNAGAR,SATHUR,"[9.357670783996582, 77.92166137695312]"
68, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
69, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
70, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
71, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
72, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
73, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
74, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
75, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
76, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
77, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
78, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
79, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
80, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
81, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
82, Tamil Nadu,TIRUNELVELI,TIRUNELVELI,"[8.80447006225586, 78.14324188232422]"
83, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
