,State,District,Block,latLong
0, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
2, Tamil Nadu,VIRUTHUNAGAR,ARUPPUKOTTAI,"[9.524751663208008, 78.10205078125]"
3, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
4, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
5, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
6, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
7, Tamil Nadu,VIRUTHUNAGAR,SIVAKASI,"[9.453042984008789, 77.79391479492188]"
8, Tamil Nadu,TIRUVALLUR,PALLIPATTU,"[13.33627700805664, 79.44100189208984]"
11, Tamil Nadu,DINDUGAL,PALANI,"[10.45087718963623, 77.51485443115234]"
12, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
15, Tamil Nadu,KARUR,KARUR,"[10.95958, 78.08195]"
17, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
18, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
20, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
24, Tamil Nadu,MADURAI,USILAMPATTY,"[9.96517, 77.78876]"
26, Tamil Nadu,MADURAI,MELUR,"[10.03273, 78.34146]"
28, Tamil Nadu,DHARMAPURI,PAPPIREDDIPATTI,"[11.915718078613281, 78.36548614501953]"
33, Tamil Nadu,PERAMBALUR,KUNNAM,"[11.237754821777344, 79.01547241210938]"
34, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
35, Tamil Nadu,ERODE,DHARAPURAM,"[11.32048, 77.72762]"
42, Tamil Nadu,COIMBATORE,COIMBATORE SOUTH,"[10.952262878417969, 76.91082763671875]"
43, Tamil Nadu,COIMBATORE,POLLACHI,"[10.65905, 77.00824]"
