Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
2778,2050823.535,,1,,,101.0,2050823.535,,,500.0,27,9,0.0,0.0,,4.0,3
2779,3625.925628,,1,,,,3625.925628,1.0,,50.0,1,0,,,,,1
2780,213929.6121,,1,1.0,6.0,5.0,213929.6121,31.0,,4.0,1,0,,,,,1
2781,20305.18352,,1,2.0,2.0,1.0,20305.18352,,,,1,0,,,,,1
2782,20305.18352,,1,1.0,2.0,1.0,20305.18352,,,,1,0,,,,,1
2783,3625.925628,,1,,2.0,,3625.925628,1.0,,,57,22,0.0,0.0,,16.0,3
2784,90648.1407,,1,5.0,2.0,,90648.1407,25.0,,,69,18,0.0,0.0,,0.0,3
2785,20305.18352,,1,4.0,5.0,1.0,20305.18352,,,,1,0,,,,,1
2786,21755.55377,,1,1.0,,,21755.55377,6.0,,,1,0,,,,,1
2787,20305.18352,,1,1.0,,1.0,20305.18352,,,,1,0,,,,,1
2788,56564.4398,,1,1.0,,1.0,56564.4398,10.0,,,25,7,0.0,0.0,,8.0,1
2789,162441.4681,,1,1.0,,8.0,162441.4681,,,,1,0,,,,,1
2790,348.0888603,,1,2.0,,,,,,,29,13,0.0,0.0,,17.0,3
2791,20305.18352,,1,1.0,,1.0,20305.18352,,,,29,12,0.0,0.0,,9.0,3
2792,116.02962009999999,,1,1.0,,,,,,,1,0,,,,,1
2793,3625.925628,,1,1.0,,,3625.925628,1.0,,,1,0,,,,,1
2794,18129.62814,,3,5.0,,,18129.62814,5.0,,,1,0,,,,,1
2795,54388.88442,,1,1.0,,,54388.88442,15.0,,,1,0,,,,,1
2796,119655.5457,,1,1.0,,5.0,119655.5457,5.0,,,1,0,,,,,1
2797,3625.925628,,1,3.0,,,3625.925628,1.0,,,1,0,,,,,1
2798,7251.851256,,1,1.0,,,7251.851256,2.0,,,1,0,,,,,1
2799,286756328.3,,1,110.0,,13600.0,286756328.3,2925.0,,,67,14,0.0,0.0,,8.0,3
2800,3625.925628,,1,1.0,,,3625.925628,1.0,,,57,7,0.0,0.0,,1.0,3
2801,101525.9176,,1,2.0,,,101525.9176,,,,1,0,,,,,1
2802,3625.925628,,1,4.0,,,3625.925628,1.0,,,1,0,,,,,1
2803,15033087.65,,11,94.0,,,15033087.65,4146.0,,,85,39,0.0,0.0,,28.0,3
2804,7251.851256,,2,,,,7251.851256,2.0,,,21,6,0.0,0.0,,46.0,2
2805,1747696.1530000002,,31,,,,1747696.1530000002,482.0,,,20,6,0.0,0.0,,46.0,2
2806,1994259.095,,31,,,,1994259.095,550.0,,,20,6,0.0,0.0,,46.0,2
2807,1812962.814,,31,,,,1812962.814,500.0,,,20,6,0.0,0.0,,46.0,2
2808,5246714.384,,31,,,,5246714.384,1447.0,,,20,6,0.0,0.0,,46.0,2
2809,1798459.112,,31,,,,1798459.112,496.0,,,20,6,0.0,0.0,,46.0,2
2810,1965251.69,,31,,,,1965251.69,542.0,,,20,6,0.0,0.0,,45.0,2
2811,3625925.628,,31,,,,3625925.628,1000.0,,,20,6,0.0,0.0,,45.0,2
2812,3625.925628,,2,,,,3625.925628,1.0,,,1,0,,,,,1
2813,928.2369607999999,,31,,,,,,,,1,0,,,,,1
2814,3625.925628,,9,,,,3625.925628,1.0,,,25,8,0.0,0.0,,22.0,3
2815,3625.925628,,2,,,,3625.925628,1.0,,,26,9,0.0,0.0,,20.0,3
2816,3625.925628,,2,,,,3625.925628,1.0,,,28,11,0.0,0.0,,4.0,3
2817,9862.517708,,31,,,,,,,,1,0,,,,,1
2818,1700559.12,,8,,,,1700559.12,469.0,,,50,26,0.0,0.0,,2.0,3
2819,2251699.815,,31,,,,2251699.815,621.0,,,51,24,0.0,0.0,,9.0,3
2820,10353419.44,,11,,,,10353419.44,,,,1,0,,,,,1
2821,110228.1391,,124,,,4.0,110228.1391,8.0,,,1,0,,,,,1
2822,62365.9208,,8,,,2.0,62365.9208,6.0,,,1,0,,,,,1
2823,150838.5061,,1,,,6.0,150838.5061,8.0,,,1,0,,,,,1
2824,186372.5773,,1,,,9.0,186372.5773,1.0,,,1,0,,,,,1
2825,112403.6945,,1,,,5.0,112403.6945,3.0,,,1,0,,,,,1
2826,247288.1278,,1,,,12.0,247288.1278,1.0,,,1,0,,,,,1
2827,84846.6597,,1,,,4.0,84846.6597,1.0,,,24,7,0.0,0.0,,2.0,1
2828,79045.17869,,1,,,3.0,79045.17869,5.0,,,23,7,0.0,0.0,,1.0,1
2829,208128.1311,,1,,,9.0,208128.1311,7.0,,,1,0,,,,,1
2830,84846.6597,,1,,,4.0,84846.6597,1.0,,,29,10,0.0,0.0,,0.0,3
2831,247288.1278,,1,,,12.0,247288.1278,1.0,,,1,0,,,,,1
2832,153014.0615,,1,,,7.0,153014.0615,3.0,,,1,0,,,,,1
2833,68167.40181,,1,,,3.0,68167.40181,2.0,,,1,0,,,,,1
2834,1131288.7959999999,,1,,,20.0,1131288.7959999999,200.0,,,1,0,,,,,1
2835,298776.2718,,1,,,14.0,298776.2718,4.0,,,1,0,,,,,1
2836,406828.8555,,1,,,17.0,406828.8555,17.0,,,49,25,0.0,0.0,,19.0,3
2837,226982.9443,,1,,,11.0,226982.9443,1.0,,,51,26,0.0,0.0,,13.0,3
2838,122556.2862,,1,,,3.0,122556.2862,17.0,,,1,0,,,,,1
2839,105151.8432,,1,,,5.0,105151.8432,1.0,,,1,0,,,,,1
2840,135609.6185,,1,,,4.0,135609.6185,15.0,,,1,0,,,,,1
2841,365493.3033,,1,,,8.0,365493.3033,56.0,,,1,0,,,,,1
2842,68167.40181,,1,,,3.0,68167.40181,2.0,,,1,0,,,,,1
2843,152288.8764,,1,,,5.0,152288.8764,14.0,,,1,0,,,,,1
2844,443088.1118,,1,,,12.0,443088.1118,55.0,,,1,0,,,,,1
2845,258891.0898,,1,,,9.0,258891.0898,21.0,,,1,0,,,,,1
2846,116029.6201,,1,,,5.0,116029.6201,4.0,,,1,0,,,,,1
2847,86297.02995,,1,,,3.0,86297.02995,7.0,,,1,0,,,,,1
2848,203051.8352,,1,,,5.0,203051.8352,28.0,,,1,0,,,,,1
2849,184922.207,,1,,,5.0,184922.207,23.0,,,1,0,,,,,1
2850,1155945.09,,1,,,38.0,1155945.09,106.0,,,1,0,,,,,1
2851,194349.6137,,1,,,6.0,194349.6137,20.0,,,1,0,,,,,1
2852,105151.8432,,1,,,5.0,105151.8432,1.0,,,1,0,,,,,1
2853,210303.6864,,1,,,5.0,210303.6864,30.0,,,1,0,,,,,1
2854,182021.4665,,1,,,7.0,182021.4665,11.0,,,1,0,,,,,1
2855,591751.0625,,1,,,7.0,591751.0625,124.0,,,1,0,,,,,1
2856,453240.7035,,1,,,15.0,453240.7035,41.0,,,1,0,,,,,1
2857,292249.6056,,1,,,6.0,292249.6056,47.0,,,1,0,,,,,1
2858,874573.2615,,1,,,7.0,874573.2615,202.0,,,1,0,,,,,1
2859,229883.6848,,1,,,9.0,229883.6848,13.0,,,1,0,,,,,1
2860,118930.3606,,1,,,3.0,118930.3606,16.0,,,1,0,,,,,1
2861,689651.0545,,1,,,12.0,689651.0545,123.0,,,1,0,,,,,1
2862,577247.36,,1,,,7.0,577247.36,120.0,,,1,0,,,,,1
2863,633811.7998,,1,,,3.0,633811.7998,158.0,,,1,0,,,,,1
2864,134159.2482,,1,,,5.0,134159.2482,9.0,,,1,0,,,,,1
2865,125457.0267,,1,,,6.0,125457.0267,1.0,,,1,0,,,,,1
2866,180571.0963,,1,,,3.0,180571.0963,33.0,,,1,0,,,,,1
2867,68167.40181,,1,,,3.0,68167.40181,2.0,,,1,0,,,,,1
2868,135609.6185,,1,,,4.0,135609.6185,15.0,,,1,0,,,,,1
2869,68167.40181,,1,,,3.0,68167.40181,2.0,,,1,0,,,,,1
2870,153014.0615,,1,,,7.0,153014.0615,3.0,,,1,0,,,,,1
2871,191448.8732,,1,,,3.0,191448.8732,36.0,,,1,0,,,,,1
2872,1121861.389,,1,,,29.0,1121861.389,147.0,,,1,0,,,,,1
2873,84846.6597,,1,,,4.0,84846.6597,1.0,,,1,0,,,,,1
2874,213929.6121,,1,,,5.0,213929.6121,31.0,,,1,0,,,,,1
2875,591025.8774,,1,,,25.0,591025.8774,23.0,,,1,0,,,,,1
2876,165342.2086,,1,,,6.0,165342.2086,12.0,,,1,0,,,,,1
2877,99350.36221,,1,,,4.0,99350.36221,5.0,,,1,0,,,,,1
2878,469919.9614,,1,,,16.0,469919.9614,40.0,,,1,0,,,,,1
2879,681674.0181,,1,,,20.0,681674.0181,76.0,,,1,0,,,,,1
2880,226982.9443,,1,,,11.0,226982.9443,1.0,,,1,0,,,,,1
2881,254539.9791,,1,,,12.0,254539.9791,3.0,,,1,0,,,,,1
2882,346638.49,,1,,,11.0,346638.49,34.0,,,1,0,,,,,1
2883,1301707.3,,1,,,55.0,1301707.3,51.0,,,1,0,,,,,1
2884,1249493.971,,1,,,41.0,1249493.971,115.0,,,1,0,,,,,1
2885,3230699.735,,1,,,105.0,3230699.735,303.0,,,1,0,,,,,1
2886,3095815.3010000004,,1,,,103.0,3095815.3010000004,277.0,,,1,0,,,,,1
2887,550415.5103,,1,,,18.0,550415.5103,51.0,,,1,0,,,,,1
2888,149388.1359,,1,,,7.0,149388.1359,2.0,,,1,0,,,,,1
2889,4769542.571,,1,,,139.0,4769542.571,537.0,,,1,0,,,,,1
2890,1046442.1359999999,,1,,,36.0,1046442.1359999999,87.0,,,1,0,,,,,1
2891,777398.4547,,1,,,14.0,777398.4547,136.0,,,1,0,,,,,1
2892,232059.2402,,1,,,10.0,232059.2402,8.0,,,1,0,,,,,1
2893,174769.6153,,1,,,7.0,174769.6153,9.0,,,1,0,,,,,1
2894,206677.7608,,1,,,10.0,206677.7608,1.0,,,1,0,,,,,1
2895,3189364.182,,1,,,66.0,3189364.182,510.0,,,1,0,,,,,1
2896,424233.2985,,1,,,20.0,424233.2985,5.0,,,1,0,,,,,1
2897,79045.17869,,1,,,3.0,79045.17869,5.0,,,1,0,,,,,1
2898,1829642.072,,1,,,41.0,1829642.072,275.0,,,1,0,,,,,1
2899,1296631.005,,1,,,46.0,1296631.005,100.0,,,1,0,,,,,1
2900,104426.6581,,1,,,3.0,104426.6581,12.0,,,1,0,,,,,1
2901,1394530.997,,1,,,36.0,1394530.997,183.0,,,1,0,,,,,1
2902,2806466.436,,1,,,95.0,2806466.436,242.0,,,1,0,,,,,1
2903,1551170.9840000002,,1,,,48.0,1551170.9840000002,159.0,,,1,0,,,,,1
2904,462668.1101,,1,,,16.0,462668.1101,38.0,,,1,0,,,,,1
2905,1089953.244,,1,,,26.0,1089953.244,155.0,,,1,0,,,,,1
2906,918809.5542,,1,,,19.0,918809.5542,147.0,,,1,0,,,,,1
2907,375645.8951,,1,,,11.0,375645.8951,42.0,,,1,0,,,,,1
2908,236410.35100000002,,1,,,7.0,236410.35100000002,26.0,,,1,0,,,,,1
2909,1264722.8590000002,,1,,,48.0,1264722.8590000002,80.0,,,1,0,,,,,1
2910,166067.3938,,1,,,8.0,166067.3938,1.0,,,1,0,,,,,1
2911,100800.7325,,1,,,3.0,100800.7325,11.0,,,1,0,,,,,1
2912,12993141.9,,1,,,124.0,12993141.9,2889.0,,,1,0,,,,,1
2913,440187.3713,,1,,,19.0,440187.3713,15.0,,,1,0,,,,,1
2914,326333.3065,,1,,,15.0,326333.3065,6.0,,,1,0,,,,,1
2915,431485.1497,,1,,,10.0,431485.1497,63.0,,,1,0,,,,,1
2916,3916724.863,,1,,,37.0,3916724.863,873.0,,,1,0,,,,,1
2917,2084907.236,,1,,,60.0,2084907.236,239.0,,,1,0,,,,,1
2918,206677.7608,,1,,,10.0,206677.7608,1.0,,,1,0,,,,,1
2919,102976.2878,,1,,,4.0,102976.2878,6.0,,,1,0,,,,,1
2920,102976.2878,,1,,,4.0,102976.2878,6.0,,,1,0,,,,,1
2921,5040036.623,,1,,,225.0,5040036.623,130.0,,,1,0,,,,,1
2922,819459.1919,,1,,,30.0,819459.1919,58.0,,,1,0,,,,,1
2923,1520713.208,,1,,,49.0,1520713.208,145.0,,,1,0,,,,,1
2924,588125.1369,,1,,,22.0,588125.1369,39.0,,,1,0,,,,,1
2925,1360447.2959999999,,1,,,57.0,1360447.2959999999,56.0,,,1,0,,,,,1
2926,1356821.37,,1,,,37.0,1356821.37,167.0,,,1,0,,,,,1
2927,1368424.332,,1,,,44.0,1368424.332,131.0,,,1,0,,,,,1
2928,2997190.124,,1,,,131.0,2997190.124,93.0,,,1,0,,,,,1
2929,783199.9357,,1,,,10.0,783199.9357,160.0,,,1,0,,,,,1
2930,292974.7908,,1,,,13.0,292974.7908,8.0,,,1,0,,,,,1
2931,389424.4125,,1,,,19.0,389424.4125,1.0,,,1,0,,,,,1
2932,1198731.013,,1,,,56.0,1198731.013,17.0,,,1,0,,,,,1
2933,403928.115,,1,,,19.0,403928.115,5.0,,,1,0,,,,,1
2934,168968.1343,,1,,,6.0,168968.1343,13.0,,,1,0,,,,,1
2935,169693.3194,,1,,,8.0,169693.3194,2.0,,,1,0,,,,,1
