economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,24,10,0.0,0.0,,35.0,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,24,10,0.0,0.0,,25.0,1
,,1,,,,,,,,24,8,0.0,0.0,,12.0,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,27,10,0.0,0.0,,13.0,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,39,19,0.0,0.0,,1.0,2
,,1,,,,,,,,37,18,0.0,0.0,,57.0,2
,,1,,,,,,,,37,18,0.0,0.0,,56.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,85,21,0.0,0.0,,4.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,40,7,0.0,0.0,,0.0,1
,,1,,,,,,,,43,20,0.0,0.0,,30.0,2
,,1,,,,,,,,56,21,0.0,0.0,,5.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,53,22,0.0,0.0,,8.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,70,20,0.0,0.0,,8.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,57,7,0.0,0.0,,4.0,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,54,12,0.0,0.0,,14.0,2
,,1,,,,,,,,55,17,0.0,0.0,,2.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,58,22,0.0,0.0,,0.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,83,46,0.0,0.0,,2.0,2
,,1,,,,,,,,83,46,0.0,0.0,,1.0,2
,,1,,,,,,,,83,47,0.0,0.0,,8.0,2
,,1,,,,,,,,84,47,0.0,0.0,,4.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,84,42,0.0,0.0,,12.0,2
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,205,0,0.0,0.0,56.0,253.0,0
,,1,,,,,,,,205,0,0.0,0.0,56.0,253.0,0
,,1,,,,,,,,28,0,0.0,0.0,2.0,165.0,0
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,1,,,,,,,,1,0,,,,,1
,,31,,,,,,,,20,6,0.0,0.0,,46.0,1
,,2,,,,,,,,1,0,,,,,1
,,2,,,,,,,,1,0,,,,,1
,,2,,,,,,,,1,0,,,,,1
,,2,,,,,,,,70,21,0.0,0.0,,1.0,2
,,22,,,,,,,,67,11,0.0,0.0,,1.0,2
,,2,,,,,,,,5,0,0.0,0.0,,55.0,1
,,2,1.0,,,,,,,1,0,,,,,1
,,2,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,23,9,0.0,0.0,,37.0,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
,,1,1.0,,,,,,,1,0,,,,,1
