event_date,latitude,longitude,DaysSince1985,Economic loss (w/Agriculture),Total Affected,Duration,timeline_event,CAMEOCode,Index
"Wednesday, March 08, 2006",13.0833,80.2833,7736,,,,1,141,242
"Wednesday, March 15, 2006",13.0833,80.2833,7743,,,,1,141,245
"Monday, April 10, 2006",13.0833,80.2833,7769,,,,1,141,251
"Friday, May 12, 2006",13.0833,80.2833,7801,,,,1,141,253
"Friday, May 19, 2006",13.0833,80.2833,7808,,,,1,141,255
"Wednesday, May 24, 2006",13.0833,80.2833,7813,,,,1,141,256
"Friday, June 02, 2006",13.0833,80.2833,7822,,,,1,141,259
"Tuesday, June 13, 2006",13.0833,80.2833,7833,,,,1,141,261
"Thursday, July 06, 2006",13.0833,80.2833,7856,,,,1,141,269
"Monday, July 24, 2006",13.0833,80.2833,7874,,,,1,141,272
"Saturday, August 05, 2006",13.0833,80.2833,7886,,,,1,141,275
"Sunday, September 03, 2006",13.0833,80.2833,7915,,,,1,141,284
"Monday, September 04, 2006",13.0833,80.2833,7916,,,,1,141,285
"Tuesday, September 05, 2006",13.0833,80.2833,7917,,,,1,141,286
"Thursday, November 02, 2006",13.0833,80.2833,7975,,,,1,141,296
"Thursday, November 09, 2006",13.0833,80.2833,7982,,,,1,141,299
"Monday, November 20, 2006",13.0833,80.2833,7993,,,,1,141,302
"Thursday, November 30, 2006",13.0833,80.2833,8003,,,,1,141,304
"Wednesday, December 13, 2006",13.0833,80.2833,8016,,,,1,141,308
"Saturday, December 23, 2006",13.0833,80.2833,8026,,,,1,141,311
"Tuesday, January 23, 2007",13.0833,80.2833,8057,,,,1,141,321
"Monday, January 29, 2007",13.0833,80.2833,8063,,,,1,141,322
"Tuesday, January 30, 2007",13.0833,80.2833,8064,,,,1,141,323
"Wednesday, January 31, 2007",13.0833,80.2833,8065,,,,1,141,324
"Friday, March 23, 2007",13.0833,80.2833,8116,,,,1,141,344
"Friday, March 30, 2007",13.0833,80.2833,8123,,,,1,141,351
"Tuesday, April 10, 2007",13.0833,80.2833,8134,,,,1,141,357
"Friday, April 13, 2007",13.0833,80.2833,8137,,,,1,141,359
"Sunday, April 22, 2007",13.0833,80.2833,8146,,,,1,141,365
"Wednesday, April 25, 2007",13.0833,80.2833,8149,,,,1,141,368
"Monday, May 07, 2007",13.0833,80.2833,8161,,,,1,141,371
"Wednesday, May 23, 2007",13.0833,80.2833,8177,,,,1,141,384
"Wednesday, May 23, 2007",13.0833,80.2833,8177,,,,1,141,385
"Friday, June 01, 2007",13.0833,80.2833,8186,,,,1,141,392
"Thursday, June 14, 2007",13.0833,80.2833,8199,,,,1,141,395
"Saturday, June 16, 2007",13.0833,80.2833,8201,,,,1,141,399
"Saturday, June 16, 2007",13.0833,80.2833,8201,,,,1,141,400
"Friday, June 29, 2007",13.0833,80.2833,8214,,,,1,141,410
"Thursday, July 19, 2007",13.0833,80.2833,8234,,,,1,141,427
"Thursday, July 19, 2007",13.0833,80.2833,8234,,,,1,141,429
"Sunday, July 22, 2007",13.0833,80.2833,8237,,,,1,141,432
"Sunday, July 22, 2007",13.0833,80.2833,8237,,,,1,141,433
"Thursday, July 26, 2007",13.0833,80.2833,8241,,,,1,141,434
"Sunday, July 29, 2007",13.0833,80.2833,8244,,,,1,141,435
"Wednesday, August 01, 2007",13.0833,80.2833,8247,,,,1,141,437
"Monday, August 06, 2007",13.0833,80.2833,8252,,,,1,141,441
"Wednesday, August 08, 2007",13.0833,80.2833,8254,,,,1,141,442
"Friday, August 10, 2007",13.0833,80.2833,8256,,,,1,141,443
"Thursday, August 16, 2007",13.0833,80.2833,8262,,,,1,141,446
"Monday, August 20, 2007",13.0833,80.2833,8266,,,,1,141,450
"Tuesday, September 04, 2007",13.0833,80.2833,8281,,,,1,141,458
"Saturday, September 08, 2007",13.0833,80.2833,8285,,,,1,141,465
"Wednesday, September 12, 2007",13.0833,80.2833,8289,,,,1,141,472
"Wednesday, September 12, 2007",13.0833,80.2833,8289,,,,1,141,474
"Wednesday, September 12, 2007",13.0833,80.2833,8289,,,,1,141,476
"Wednesday, September 12, 2007",13.0833,80.2833,8289,,,,1,141,479
"Thursday, September 20, 2007",13.0833,80.2833,8297,,,,1,141,486
"Sunday, September 23, 2007",13.0833,80.2833,8300,,,,1,141,490
"Sunday, September 23, 2007",13.0833,80.2833,8300,,,,1,141,493
"Wednesday, September 26, 2007",13.0833,80.2833,8303,,,,1,141,497
"Saturday, October 06, 2007",13.0833,80.2833,8313,,,,1,141,508
"Sunday, October 07, 2007",13.0833,80.2833,8314,,,,1,141,510
"Friday, October 12, 2007",13.0833,80.2833,8319,,,,1,141,515
"Wednesday, October 17, 2007",13.0833,80.2833,8324,,,,1,141,521
"Saturday, November 03, 2007",13.0833,80.2833,8341,,,,1,141,532
"Tuesday, November 06, 2007",13.0833,80.2833,8344,,,,1,141,534
"Tuesday, November 06, 2007",13.0833,80.2833,8344,,,,1,141,535
"Sunday, November 25, 2007",13.0833,80.2833,8363,,,,1,141,547
"Monday, November 26, 2007",13.0833,80.2833,8364,,,,1,141,548
"Tuesday, November 27, 2007",13.0833,80.2833,8365,,,,1,141,551
"Wednesday, December 05, 2007",13.0833,80.2833,8373,,,,1,141,559
"Tuesday, December 11, 2007",13.0833,80.2833,8379,,,,1,141,565
"Thursday, December 13, 2007",13.0833,80.2833,8381,,,,1,141,568
"Thursday, December 20, 2007",13.0833,80.2833,8388,,,,1,141,574
"Friday, December 21, 2007",13.0833,80.2833,8389,,,,1,141,576
"Wednesday, December 26, 2007",13.0833,80.2833,8394,,,,1,141,578
"Saturday, December 29, 2007",13.0833,80.2833,8397,,,,1,141,582
"Saturday, January 05, 2008",13.0833,80.2833,8404,,,,1,141,588
"Friday, January 11, 2008",13.0833,80.2833,8410,,,,1,141,597
"Sunday, January 13, 2008",13.0833,80.2833,8412,,,,1,141,599
"Monday, January 14, 2008",13.0833,80.2833,8413,,,,1,141,600
"Monday, January 14, 2008",13.0833,80.2833,8413,,,,1,141,601
"Friday, January 18, 2008",13.0833,80.2833,8417,,,,1,141,607
"Thursday, January 24, 2008",13.0833,80.2833,8423,,,,1,141,613
"Thursday, January 31, 2008",13.0833,80.2833,8430,,,,1,141,618
"Saturday, February 02, 2008",13.0833,80.2833,8432,,,,1,141,623
"Thursday, February 07, 2008",13.0833,80.2833,8437,,,,1,141,631
