,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
0,"Sunday, January 01, 2006",20.84444618,84.30723572,7670,,,1,-1,,3742,,,,,,,,1,0,,,,
1,"Sunday, January 01, 2006",20.46570396,85.90019226,7670,,,1,-1,,3749,,,,,,,,1,0,,,,
2,"Sunday, January 01, 2006",20.70140076,83.48519897,7670,,,1,-1,,3763,,,,,,,,1,0,,,,
3,"Sunday, January 01, 2006",21.4726429,84.78175354,7670,,,1,-1,,3766,,,,,,,,1,0,,,,
4,"Sunday, January 01, 2006",20.51589966,86.39798737,7670,,,1,-1,,3771,,,,,,,,1,0,,,,
5,"Sunday, January 01, 2006",20.10806465,84.04166412,7670,,,1,-1,,3781,,,,,,,,1,0,,,,
6,"Sunday, January 01, 2006",19.81144714,83.15966797,7670,,,1,-1,,3793,,,,,,,,1,0,,,,
7,"Sunday, January 01, 2006",21.4726429,84.78175354,7670,,,1,-1,,3808,,,,,,,,1,0,,,,
8,"Sunday, January 01, 2006",21.82422066,86.42418671,7670,,,1,-1,,3843,,,,,,,,1,0,,,,
9,"Sunday, January 01, 2006",20.12689972,85.10469818,7670,,,1,-1,,3846,,,,,,,,1,0,,,,
10,"Sunday, January 01, 2006",21.33270073,83.64330292,7670,,,1,-1,,3849,,,,,,,,1,0,,,,
11,"Sunday, January 01, 2006",20.18630028,85.62259674,7670,,,1,-1,,3852,,,,,,,,1,0,,,,
12,"Sunday, January 01, 2006",20.8077774,82.53410339,7670,,,1,-1,,3854,,,,,,,,1,0,,,,
13,"Sunday, January 01, 2006",22.11980057,84.03739929,7670,,,1,-1,,3857,,,,,,,,1,0,,,,
14,"Sunday, January 01, 2006",19.23039818,82.54985046,7670,,,1,-1,,3859,,,,,,,,1,0,,,,
15,"Sunday, January 01, 2006",21.86149979,84.01760101,7670,,,1,-1,,3862,,,,,,,,1,0,,,,
